neighbourhood,income
el Raval,75.8
el Barri Gòtic,108.5
la Barceloneta,76.6
"Sant Pere, Santa Caterina i la Ribera",96.4
el Fort Pienc,104.8
la Sagrada Família,95.8
la Dreta de l'Eixample,165.8
l'Antiga Esquerra de l'Eixample,128.9
la Nova Esquerra de l'Eixample,103.8
Sant Antoni,98.6
el Poble Sec,74.3
la Marina del Prat Vermell,36.9
la Marina de Port,70.4
la Font de la Guatlla,83.2
Hostafrancs,82.2
la Bordeta,74.3
Sants - Badal,77
Sants,88.2
les Corts,124.5
la Maternitat i Sant Ramon,109.9
Pedralbes,250.5
"Vallvidrera, el Tibidabo i les Planes",151.7
Sarrià,199.1
les Tres Torres,214.1
Sant Gervasi - la Bonanova,188.9
Sant Gervasi - Galvany,205.1
el Putxet i el Farró,141
Vallcarca i els Penitents,111.2
el Coll,89
la Salut,114.4
la Vila de Gràcia,106.3
el Camp d'en Grassot i Gràcia Nova,103
el Baix Guinardó,90.4
Can Baró,88.1
el Guinardó,82.7
la Font d'en Fargues,95.2
el Carmel,56.9
la Teixonera,74.5
Sant Genís dels Agudells,93.5
Montbau,72.3
la Vall d'Hebron,92.6
la Clota,89.3
Horta,80.9
Vilapicina i la Torre Llobeta,65
Porta,61.4
el Turó de la Peira,48.8
Can Peguera,51.1
la Guineueta,55.9
Canyelles,55.6
les Roquetes,47.8
Verdun,55.4
la Prosperitat,54
la Trinitat Nova,35.6
Torre Baró,47.1
Ciutat Meridiana,34.5
Vallbona,37.8
la Trinitat Vella,43.1
Baró de Viver,60.2
el Bon Pastor,58
Sant Andreu,75.6
la Sagrera,76.8
el Congrés i els Indians,70.1
Navas,85.8
el Camp de l'Arpa del Clot,78.7
el Clot,84.7
el Parc i la Llacuna del Poblenou,96.8
la Vila Olímpica del Poblenou,150.2
el Poblenou,95.6
Diagonal Mar i el Front Marítim del Poblenou,162.5
el Besòs i el Maresme,54.4
Provençals del Poblenou,102.8
Sant Martí de Provençals,68.3
la Verneda i la Pau,57.5
