neighbourhood,unemp
el Raval,11.4
el Barri Gòtic,8.9
la Barceloneta,10.9
"Sant Pere, Santa Caterina i la Ribera",9.6
el Fort Pienc,7.4
la Sagrada Família,7.4
la Dreta de l'Eixample,5.8
l'Antiga Esquerra de l'Eixample,6.5
la Nova Esquerra de l'Eixample,7.0
Sant Antoni,7.7
el Poble Sec,10.3
la Marina del Prat Vermell,19.1
la Marina de Port,10.9
la Font de la Guatlla,10.5
Hostafrancs,8.0
la Bordeta,8.5
Sants - Badal,7.2
Sants,7.9
les Corts,7.5
la Maternitat i Sant Ramon,7.7
Pedralbes,3.9
"Vallvidrera, el Tibidabo i les Planes",3.6
Sarrià,3.9
les Tres Torres,4.1
Sant Gervasi - la Bonanova,4.6
Sant Gervasi - Galvany,4.6
el Putxet i el Farró,6.5
Vallcarca i els Penitents,7.9
el Coll,6.7
la Salut,7.6
la Vila de Gràcia,7.2
el Camp d'en Grassot i Gràcia Nova,7.4
el Baix Guinardó,7.6
Can Baró,8.0
el Guinardó,8.9
la Font d'en Fargues,10.7
el Carmel,10.5
la Teixonera,8.6
Sant Genís dels Agudells,9.6
Montbau,9.8
la Vall d'Hebron,9.0
la Clota,5.7
Horta,10.7
Vilapicina i la Torre Llobeta,10.3
Porta,10.9
el Turó de la Peira,10.7
Can Peguera,9.9
la Guineueta,13.3
Canyelles,12.9
les Roquetes,12.1
Verdun,12.3
la Prosperitat,11.5
la Trinitat Nova,17.2
Torre Baró,12.3
Ciutat Meridiana,17.8
Vallbona,16.3
la Trinitat Vella,16.1
Baró de Viver,9.4
el Bon Pastor,10.9
Sant Andreu,9.6
la Sagrera,8.7
el Congrés i els Indians,9.1
Navas,8.8
el Camp de l'Arpa del Clot,9.2
el Clot,8.6
el Parc i la Llacuna del Poblenou,7.4
la Vila Olímpica del Poblenou,7.4
el Poblenou,7.5
Diagonal Mar i el Front Marítim del Poblenou,9.4
el Besòs i el Maresme,12.3
Provençals del Poblenou,9.1
Sant Martí de Provençals,10.9
la Verneda i la Pau,11.2
